aX,aY,aZ,gX,gY,gZ
0.060,0.906,0.244,2.869,3.967,3.784
0.063,0.884,0.260,3.723,4.150,2.563
0.069,0.878,0.285,3.845,4.578,1.892
0.077,0.885,0.282,1.465,3.967,1.038
0.078,0.883,0.292,-0.793,3.479,0.305
0.077,0.906,0.299,0.427,3.723,0.854
0.084,0.918,0.302,1.221,2.808,0.610
0.087,0.906,0.301,1.709,0.793,-0.122
0.073,0.901,0.307,0.244,-0.183,-0.854
0.075,0.903,0.309,-0.061,0.488,-1.404
0.070,0.911,0.302,-1.038,1.099,-1.160
0.072,0.913,0.287,-3.540,1.770,-1.038
0.078,0.907,0.295,-4.517,2.014,-1.099
0.078,0.907,0.296,-3.540,3.113,-0.427
0.080,0.910,0.291,-1.343,2.930,-1.160
0.088,0.901,0.292,0.366,2.808,-1.160
0.094,0.903,0.303,0.854,1.831,-0.916
0.093,0.907,0.310,1.099,0.183,-0.427
0.083,0.913,0.312,0.732,-1.526,-0.488
0.072,0.909,0.311,1.587,-1.770,-0.732
0.068,0.911,0.314,0.549,-1.831,-0.854
0.071,0.925,0.298,-2.441,-1.221,-0.488
0.069,0.917,0.281,-3.479,0.122,-0.854
0.070,0.911,0.280,-3.479,0.610,-1.221
0.073,0.919,0.279,-1.343,0.916,-1.221
0.072,0.929,0.274,-1.892,0.610,-1.221
0.071,0.934,0.278,-2.869,0.305,-1.526
0.070,0.920,0.282,-0.854,0.183,-1.709
0.070,0.906,0.296,1.648,-0.244,-1.282
0.072,0.914,0.302,3.052,-0.305,-0.977
0.074,0.915,0.297,2.502,-0.183,-0.916
0.075,0.914,0.294,0.427,-0.122,-1.404
0.068,0.913,0.286,0.305,0.305,-1.282
0.066,0.912,0.288,0.183,0.793,-0.854
0.111,0.922,0.376,-24.658,-0.854,0.854
0.118,0.910,0.356,-26.917,-1.404,0.488
0.135,0.886,0.320,-32.593,-1.465,-0.977
0.141,0.878,0.247,-46.326,-1.343,-0.977
0.144,0.856,0.290,-61.462,-0.122,0.366
0.153,0.871,0.310,-58.228,-0.488,3.357
0.154,0.863,0.342,-48.889,-0.671,4.456
0.131,0.843,0.371,-38.757,-4.639,6.104
0.080,0.870,0.370,-28.259,-7.568,8.911
0.039,0.909,0.339,-21.851,-7.202,11.780
0.019,0.942,0.286,-19.043,-5.310,13.245
-0.011,0.930,0.281,-10.071,-2.808,14.282
-0.036,0.936,0.249,-5.676,-0.916,14.709
-0.003,0.900,0.278,-1.160,0.793,10.864
0.046,0.890,0.333,-1.465,-4.395,6.470
0.019,0.942,0.318,-2.869,-8.118,6.226
-0.010,1.001,0.286,-8.789,-7.080,4.211
0.035,1.029,0.269,-13.977,-5.737,2.075
0.098,0.999,0.271,-9.521,-5.188,2.014
0.106,0.938,0.284,-3.113,-3.662,4.395
0.067,0.871,0.294,8.362,-2.441,4.272
0.041,0.896,0.303,10.193,-0.732,4.395
0.063,0.939,0.292,3.174,1.831,3.967
0.084,0.898,0.284,0.488,0.793,2.930
0.067,0.872,0.285,5.981,0.916,3.479
0.059,0.903,0.296,5.981,1.160,3.540
0.071,0.929,0.293,2.502,1.099,2.808
0.078,0.929,0.283,-0.977,0.549,1.526
0.069,0.919,0.269,0.244,-0.183,1.526
0.054,0.919,0.250,0.732,1.221,2.563
0.057,0.947,0.237,-1.587,2.808,2.075
0.060,0.941,0.214,-1.648,4.822,1.404
0.060,0.895,0.232,0.671,5.310,1.160
0.078,0.878,0.270,3.906,5.554,0.977
0.092,0.874,0.278,5.798,4.578,0.671
0.089,0.880,0.288,3.662,3.357,0.061
0.085,0.908,0.297,2.197,2.563,-0.427
0.081,0.909,0.297,2.258,1.282,-0.366
0.074,0.892,0.304,3.479,0.122,0.183
0.053,0.894,0.309,4.028,0.061,0.549
0.052,0.919,0.288,-1.282,1.221,-0.122
0.061,0.904,0.269,-7.385,2.563,-1.282
0.053,0.922,0.265,-5.737,3.113,-0.977
0.063,0.955,0.254,-2.747,4.333,0.244
0.076,0.929,0.260,0.183,3.479,-0.366
0.074,0.904,0.282,3.723,1.953,-0.977
0.073,0.889,0.295,6.165,1.160,-1.343
0.081,0.875,0.307,5.005,0.000,-2.136
0.078,0.893,0.315,1.526,-0.610,-2.075
0.071,0.928,0.305,-0.916,-0.977,-0.610
0.058,0.934,0.281,-0.488,-1.099,0.610
0.057,0.931,0.291,-1.038,-0.427,0.183
0.062,0.938,0.287,-2.014,0.305,-0.549
0.063,0.925,0.272,-2.991,1.953,-1.099
0.063,0.918,0.278,-2.808,2.502,-2.258
0.067,0.919,0.284,1.099,2.563,-1.831
0.072,0.927,0.295,1.770,1.709,-2.014
0.071,0.920,0.298,0.916,0.488,-2.869
0.064,0.905,0.301,0.916,0.061,-3.052
0.061,0.911,0.305,1.892,-0.305,-2.625
0.065,0.924,0.290,0.427,-0.610,-1.648
0.064,0.927,0.286,-3.052,-0.916,-1.465
0.066,0.930,0.287,-3.601,-0.305,-1.404
0.067,0.932,0.281,-2.014,0.671,-0.916
0.094,0.946,0.339,-24.597,-1.282,0.488
0.098,0.918,0.306,-31.189,1.221,-0.305
0.114,0.891,0.324,-34.424,2.686,0.977
0.127,0.874,0.327,-33.020,2.563,3.418
0.133,0.860,0.348,-30.945,3.296,4.089
0.126,0.869,0.305,-31.860,1.038,3.784
0.102,0.904,0.283,-34.485,-0.549,5.554
0.079,0.928,0.317,-33.386,-0.793,5.798
0.075,0.937,0.356,-24.292,-1.526,6.104
0.077,0.936,0.321,-13.428,-3.052,8.057
0.065,0.891,0.274,-9.705,-4.272,11.047
0.027,0.881,0.276,-10.315,-3.845,13.245
-0.008,0.926,0.277,-14.404,-1.099,11.414
