aX,aY,aZ,gX,gY,gZ
0.089,0.880,0.360,4.578,0.244,0.671
0.092,0.877,0.359,3.662,0.122,0.366
0.089,0.874,0.369,2.930,0.061,0.366
0.085,0.880,0.364,2.991,-0.671,0.244
0.087,0.880,0.370,2.014,-0.854,0.183
0.090,0.883,0.370,0.427,-0.732,0.000
0.088,0.890,0.367,-0.244,-0.916,-0.061
0.080,0.894,0.368,0.793,-0.916,-0.122
0.079,0.885,0.366,1.282,-0.854,-0.427
0.084,0.882,0.363,0.916,-0.305,-0.610
0.084,0.880,0.356,0.366,0.061,-0.244
0.087,0.882,0.357,-0.122,0.183,-0.549
0.083,0.892,0.368,-0.305,0.061,-0.427
0.080,0.879,0.385,-0.183,-0.488,-0.671
0.073,0.862,0.358,0.977,-1.038,-0.732
0.073,0.887,0.363,-0.244,-0.427,-0.732
0.080,0.896,0.361,-0.671,-0.305,-0.916
0.081,0.888,0.361,0.427,-0.427,-0.793
0.076,0.876,0.372,0.977,-0.549,-0.854
-0.003,0.916,0.283,-6.836,4.211,-6.287
-0.013,0.839,0.355,20.325,7.568,-4.883
0.010,0.783,0.373,32.349,9.949,-3.967
0.014,0.810,0.299,30.090,5.310,-7.263
-0.024,0.953,0.276,24.902,7.812,-14.771
-0.028,1.119,0.234,24.963,16.052,-16.296
0.079,1.158,0.212,33.447,21.240,-13.611
0.175,0.955,0.156,44.189,10.986,-8.362
0.267,0.700,0.168,63.538,11.292,-7.996
0.583,0.587,0.448,61.279,13.672,-6.531
0.558,0.798,0.681,52.307,-3.357,-1.404
0.031,0.979,0.396,26.428,-16.846,-1.465
-0.117,0.892,0.323,10.437,-15.442,1.282
-0.088,0.831,0.306,6.897,-15.198,1.038
-0.009,0.884,0.378,-3.723,-1.709,1.038
0.069,0.975,0.309,-8.118,-0.244,1.038
0.055,1.039,0.304,0.488,1.953,1.526
0.037,0.980,0.306,15.076,2.197,1.099
0.083,0.889,0.321,23.315,1.709,0.610
0.131,0.823,0.350,20.813,0.000,-0.305
0.108,0.834,0.354,11.292,-1.770,-1.770
0.059,0.894,0.372,1.831,-2.258,-2.380
0.046,0.911,0.379,-0.977,-2.197,-2.014
0.049,0.855,0.358,1.648,-2.441,-1.221
0.051,0.851,0.363,0.854,-2.319,-1.404
0.063,0.922,0.367,-1.526,-1.587,-1.282
0.064,0.952,0.368,-1.404,-0.977,-1.038
0.072,0.912,0.345,1.953,-1.404,-0.061
0.073,0.879,0.360,3.296,-1.770,0.183
0.067,0.876,0.349,1.770,-1.648,1.038
0.069,0.898,0.353,-0.427,-1.221,1.465
0.077,0.920,0.361,-0.427,-1.404,0.427
0.076,0.907,0.364,1.892,-2.197,0.427
0.067,0.890,0.371,3.723,-2.380,1.343
0.062,0.860,0.374,3.296,-1.953,1.282
0.068,0.867,0.387,1.160,-1.465,1.404
0.076,0.895,0.373,-0.061,-1.526,1.099
0.069,0.904,0.356,1.343,-1.343,1.465
