aX,aY,aZ,gX,gY,gZ
0.606,-0.622,0.549,-54.077,6.897,-4.150
0.601,-0.624,0.593,-52.490,-1.221,-6.409
0.597,-0.636,0.632,-48.340,-13.000,-6.348
0.586,-0.626,0.661,-41.016,-24.841,-4.150
0.572,-0.626,0.647,-32.227,-29.968,-3.052
0.557,-0.638,0.608,-25.391,-26.855,-2.686
0.538,-0.622,0.544,-21.545,-16.846,-0.916
0.535,-0.608,0.510,-21.667,-4.639,0.366
0.525,-0.619,0.485,-22.888,5.676,0.061
0.517,-0.638,0.448,-25.757,11.963,2.136
0.558,-0.602,0.462,-32.959,10.742,6.409
0.591,-0.558,0.563,-41.870,2.625,8.362
0.588,-0.580,0.655,-43.823,-7.202,5.249
0.564,-0.587,0.720,-40.344,-16.174,3.113
0.561,-0.587,0.750,-35.095,-24.353,4.761
0.573,-0.570,0.759,-29.114,-27.649,7.019
0.574,-0.561,0.760,-24.414,-24.780,7.812
0.553,-0.571,0.750,-21.790,-15.991,7.568
0.557,-0.578,0.697,-18.005,-4.456,7.751
0.572,-0.569,0.677,-18.188,4.395,8.484
0.585,-0.552,0.668,-20.569,5.737,8.484
0.597,-0.554,0.685,-22.461,3.540,6.714
0.616,-0.544,0.739,-23.499,-1.831,4.517
0.615,-0.543,0.816,-23.560,-7.385,1.953
0.607,-0.564,0.857,-19.897,-12.085,-0.305
0.614,-0.567,0.857,-14.465,-15.320,-0.122
0.611,-0.572,0.842,-9.644,-18.555,0.183
0.600,-0.582,0.815,-5.859,-19.226,-0.549
0.590,-0.595,0.783,-4.028,-16.663,-1.343
0.578,-0.602,0.752,-3.723,-11.536,-1.648
0.571,-0.610,0.717,-3.845,-5.493,-1.404
0.564,-0.612,0.682,-4.578,0.000,-1.343
0.559,-0.617,0.659,-5.127,3.723,-1.404
0.554,-0.617,0.650,-5.615,4.822,-1.221
0.553,-0.609,0.640,-5.432,4.395,-0.977
0.557,-0.605,0.647,-4.211,2.808,-1.099
0.553,-0.609,0.646,-2.258,0.305,-1.587
0.548,-0.614,0.637,0.122,-2.747,-1.526
0.768,-0.478,1.368,38.147,23.437,-4.395
0.808,-0.423,1.416,44.922,31.677,-6.653
0.837,-0.354,1.515,51.819,37.903,-7.629
0.870,-0.378,1.636,60.791,42.236,-10.376
0.892,-0.327,1.700,73.059,47.119,-13.000
0.914,-0.267,1.750,89.355,49.988,-13.489
0.967,-0.266,1.758,111.206,47.485,-18.982
0.975,-0.271,1.712,133.240,38.330,-28.381
0.918,-0.288,1.644,151.672,24.353,-35.767
0.795,-0.359,1.505,169.861,16.052,-42.786
0.599,-0.492,1.250,187.805,23.132,-48.401
0.468,-0.528,0.947,200.989,49.500,-46.570
0.418,-0.501,0.681,207.581,82.581,-41.199
0.434,-0.496,0.510,211.060,108.521,-38.147
0.401,-0.491,0.388,215.393,121.033,-40.344
0.339,-0.479,0.202,226.196,121.033,-45.776
0.217,-0.509,-0.142,241.150,115.845,-49.744
0.043,-0.451,-0.665,249.695,106.262,-50.903
-0.150,-0.445,-1.205,251.587,89.050,-50.720
-0.356,-0.464,-1.754,243.347,63.477,-49.500
-0.611,-0.455,-2.267,227.112,36.743,-45.105
-0.776,-0.499,-2.638,203.491,16.541,-35.828
-0.756,-0.519,-2.730,168.274,4.150,-16.846
-0.575,-0.535,-2.470,124.756,-1.343,3.235
-0.263,-0.499,-1.974,77.209,1.465,22.766
0.092,-0.462,-1.365,35.828,8.118,35.828
0.406,-0.471,-0.821,7.141,11.536,40.710
0.647,-0.526,-0.389,-9.827,8.850,40.466
0.814,-0.589,-0.101,-19.897,3.540,35.706
0.904,-0.650,0.065,-26.062,-1.038,29.114
0.900,-0.720,0.108,-29.358,-4.089,21.362
0.832,-0.787,0.049,-30.457,-5.859,15.320
0.736,-0.836,-0.073,-32.288,-6.653,11.292
0.631,-0.876,-0.213,-36.560,-5.432,9.644
0.531,-0.893,-0.339,-45.105,-3.296,9.888
