aX,aY,aZ,gX,gY,gZ
0.776,0.163,0.081,104.431,-72.266,-113.525
0.740,0.046,0.098,97.046,-71.960,-113.037
0.730,-0.045,0.113,93.140,-70.801,-108.948
0.760,-0.110,0.113,91.064,-67.505,-102.905
0.814,-0.153,0.102,90.149,-62.622,-96.069
0.870,-0.177,0.074,90.759,-58.655,-90.698
0.891,-0.205,0.049,90.454,-56.396,-87.585
0.880,-0.249,0.035,88.928,-55.542,-86.731
0.845,-0.313,0.032,85.083,-55.847,-86.853
0.808,-0.372,0.058,78.918,-57.190,-86.670
0.766,-0.401,0.104,72.449,-60.120,-85.266
0.729,-0.437,0.164,67.200,-65.369,-83.740
0.700,-0.452,0.210,61.951,-72.021,-81.970
0.682,-0.472,0.262,56.213,-77.393,-79.346
0.680,-0.498,0.303,51.575,-78.125,-76.233
0.697,-0.529,0.347,49.500,-74.463,-73.059
0.723,-0.506,0.365,50.903,-68.848,-70.618
0.750,-0.464,0.363,53.528,-64.087,-70.862
0.736,-0.474,0.366,54.626,-61.401,-72.388
0.720,-0.475,0.364,53.467,-60.486,-71.228
0.700,-0.486,0.380,51.147,-61.340,-67.505
0.685,-0.496,0.397,49.805,-64.453,-62.317
0.674,-0.506,0.401,51.025,-68.359,-59.082
0.680,-0.508,0.410,53.223,-69.397,-57.739
0.669,-0.516,0.424,55.359,-67.749,-60.852
0.650,-0.550,0.420,58.838,-62.439,-64.636
0.636,-0.549,0.402,59.021,-57.251,-64.026
0.643,-0.540,0.392,55.237,-56.702,-61.401
0.629,-0.540,0.395,52.246,-60.547,-59.143
0.620,-0.537,0.405,48.706,-66.650,-57.434
0.646,-0.556,0.418,44.861,-71.777,-57.922
0.588,-0.559,0.416,43.457,-71.533,-55.115
0.594,-0.629,0.434,33.691,-68.481,-55.969
0.550,-0.679,0.429,26.672,-61.218,-55.725
0.539,-0.680,0.439,23.071,-53.345,-50.781
0.539,-0.693,0.485,21.301,-47.363,-45.959
0.558,-0.703,0.501,22.766,-43.152,-43.640
0.556,-0.723,0.505,24.170,-39.795,-41.809
0.561,-0.737,0.513,22.583,-36.255,-37.292
0.578,-0.720,0.509,18.982,-31.860,-30.884
0.616,-0.677,0.497,15.808,-27.466,-27.100
0.629,-0.654,0.489,13.367,-23.682,-27.710
0.635,-0.681,0.480,10.986,-21.729,-29.358
0.633,-0.713,0.486,7.996,-21.729,-28.809
0.633,-0.738,0.484,6.165,-22.827,-26.001
0.662,-0.728,0.473,4.883,-24.597,-22.583
0.659,-0.732,0.471,4.700,-26.306,-21.912
0.645,-0.762,0.457,5.310,-26.001,-23.743
0.621,-0.793,0.448,5.005,-24.719,-23.621
0.607,-0.816,0.436,2.258,-22.095,-20.630
0.620,-0.803,0.445,-1.770,-20.386,-16.235
0.640,-0.775,0.464,-4.944,-21.118,-14.099
0.652,-0.788,0.485,-7.141,-24.292,-15.381
0.650,-0.799,0.509,-8.545,-27.893,-17.151
0.645,-0.800,0.536,-8.667,-31.311,-17.151
