aX,aY,aZ,gX,gY,gZ
0.126,0.887,0.366,-15.259,0.61,0.854
0.117,0.865,0.354,2.686,-0.366,0.366
0.139,0.891,0.35,0.305,0.977,-15.198
0.127,0.877,0.35,0.977,0.549,0.305
0.129,0.885,0.341,-1.282,0.916,-0.244
0.125,0.885,0.346,-1.099,0.61,0.183
0.127,0.889,0.358,0.977,0.549,0.061
0.133,0.892,0.352,-0.427,1.16,-0.183
0.125,0.882,0.351,-0.427,0.671,-0.244
0.129,0.885,0.352,-0.916,0.854,0.183
0.129,0.876,0.351,0.122,0.793,-0.366
0.135,0.877,0.352,0.732,0.854,-1.343
0.142,0.876,0.352,-0.793,0.061,-1.343
0.136,0.905,0.347,-3.113,-0.122,-1.587
0.13,0.892,0.341,-0.244,0.732,-1.16
0.126,0.89,0.338,0.061,0.977,0
0.129,0.896,0.345,1.404,0.854,0.977
0.133,0.891,0.346,0.977,0.549,1.526
0.133,0.89,0.345,1.038,0.977,1.099
0.13,0.884,0.349,1.16,0.61,1.038
0.13,0.884,0.345,0.366,1.221,0.793
0.133,0.889,0.345,-0.183,1.282,0.793
0.128,0.881,0.343,1.16,0.488,0.366
0.129,0.888,0.345,0.061,0.671,0.854
0.131,0.884,0.345,0.793,0.671,0.427
,,,,,
0.548,0.623,0.571,58.35,7.385,-4.333
-0.176,0.885,0.422,-18.372,-23.804,5.676
0.097,0.821,0.295,41.382,1.404,7.446
0.132,0.919,0.377,-10.071,3.174,-4.089
0.096,0.846,0.448,4.944,-6.653,7.08
0.14,0.85,0.42,6.104,0.061,1.343
0.151,0.846,0.434,1.221,-0.305,1.77
0.121,0.84,0.428,1.221,-1.648,2.258
0.132,0.845,0.426,0.977,0.61,-1.77
0.129,0.838,0.43,0.488,-1.404,-0.793
0.124,0.849,0.429,0.977,0.427,-1.892
0.134,0.853,0.416,1.648,-0.305,-0.977
0.124,0.85,0.417,1.587,0.244,0.427
0.123,0.86,0.426,1.953,1.16,-0.854
0.125,0.858,0.433,-0.122,0.671,-0.366
0.129,0.857,0.43,0.122,1.709,-0.488
0.129,0.855,0.429,-0.427,0.427,-0.793
0.131,0.843,0.43,0.488,0.671,-0.183
0.13,0.858,0.44,-0.488,0.488,-0.488
0.125,0.849,0.413,0.732,0.549,0.488
0.128,0.848,0.426,-0.366,-0.183,-0.549
0.125,0.852,0.431,0.305,0.488,0.427
0.132,0.85,0.421,1.038,1.343,-0.244
0.128,0.852,0.424,0.61,0.793,0.061
0.126,0.849,0.434,1.587,0.305,0.488
0.137,0.85,0.427,1.221,0.916,0.122
0.129,0.845,0.426,1.221,0.427,0.61
0.125,0.849,0.436,0.732,0.732,-0.122
0.133,0.847,0.427,1.038,1.221,-0.488
0.126,0.851,0.431,0.977,0.122,0.671
0.128,0.848,0.433,0.305,0.427,0.671
0.13,0.855,0.428,0.488,0.854,0
0.123,0.842,0.428,0.854,0.427,0.061
0.125,0.85,0.427,0.244,0.977,0.061
0.128,0.847,0.434,0.916,0.732,-0.244
0.128,0.857,0.438,0.366,1.038,0.366
